Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
GEMINUS M|48,50|31,88|11,0|11,0|?
GEMINUS N|47,73|31,41|24,0|24,0|?
GEMINUS W|47,43|34,27|6,0|6,0|?
GEMINUS Z|46,64|30,72|26,0|26,0|?
GEMMA FRISIUS|13,37|-34,33|88,0|88,0|5200
GEMMA FRISIUS A|15,15|-35,80|68,0|68,0|?
GEMMA FRISIUS B|17,22|-35,58|41,0|41,0|?
GEMMA FRISIUS C|18,74|-35,71|35,0|35,0|?
GEMMA FRISIUS D|10,90|-34,36|28,0|28,0|?
GEMMA FRISIUS E|12,72|-37,30|19,0|19,0|?
Gemma Frisius E 1|12,78|-37,30|16,0|16,0|?
GEMMA FRISIUS F|10,29|-35,85|9,0|9,0|?
GEMMA FRISIUS G|11,44|-33,36|37,0|37,0|?
GEMMA FRISIUS H|12,17|-32,38|28,0|28,0|?
GEMMA FRISIUS J|18,06|-35,11|12,0|12,0|?
GEMMA FRISIUS K|10,92|-37,50|10,0|10,0|?
GEMMA FRISIUS L|11,80|-34,82|6,0|6,0|?
GEMMA FRISIUS O|12,81|-32,56|6,0|6,0|?
GEMMA FRISIUS Q|14,75|-35,83|9,0|9,0|?
GEMMA FRISIUS S|15,03|-35,28|6,0|6,0|?
GEMMA FRISIUS T|16,41|-34,92|8,0|8,0|?
GEMMA FRISIUS U|16,76|-34,61|8,0|8,0|?
GEMMA FRISIUS W|13,28|-36,95|15,0|15,0|?
GEMMA FRISIUS X|15,81|-34,69|15,0|15,0|?
GEMMA FRISIUS Y|13,53|-37,56|28,0|28,0|?
GEMMA FRISIUS Z|9,61|-35,20|10,0|10,0|?
GENA|-35,00|38,30|0,2|0,2|
GERARD|-80,51|44,54|91,0|90,0|2200
GERARD A|-82,27|45,08|17,0|17,0|?
GERARD B|-88,07|46,34|14,0|14,0|?
GERARD C|-79,33|45,84|27,0|27,0|?
GERARD G|-88,22|45,52|22,0|22,0|?
GERARD H|-86,81|44,50|13,0|13,0|?
GERARD J|-88,47|46,82|10,0|10,0|?
GERARD K|-77,28|43,95|7,0|7,0|?
GERARD Q INNER|-83,13|46,54|67,3|67,3|
GERARD Q OUTER|-84,55|46,51|192,5|192,5|
GIBBS|84,27|-18,37|78,0|78,0|?
GIBBS D|85,89|-13,11|13,0|13,0|?
GILBERT|76,16|-3,20|108,0|107,0|?
GILBERT J|72,66|-4,32|38,0|38,0|?
GILBERT K|73,17|-5,68|38,0|38,0|?
GILBERT P|75,53|-0,85|18,0|18,0|?
GILBERT S|75,53|-1,79|19,0|19,0|?
GILBERT V|79,76|-1,29|15,0|15,0|?
GILBERT W|78,82|-1,11|19,0|19,0|?
GILL|75,95|-63,77|66,0|66,0|?
GILL A|73,25|-63,43|13,0|13,0|?
GILL B|70,46|-61,82|31,0|31,0|?
GILL C|67,83|-62,42|30,0|30,0|?
GILL D|79,97|-63,49|15,0|15,0|?
GILL E|70,48|-63,33|13,0|13,0|?
GILL F|65,65|-63,95|23,0|23,0|?
GILL G|68,79|-63,62|32,0|32,0|?
GILL H|70,98|-64,08|8,0|8,0|?
GIOJA|1,76|83,35|IV-044-H3|41,0|25
GLAISHER|49,34|13,19|17,0|16,0|2600
GLAISHER A|50,73|12,84|19,0|19,0|?
GLAISHER B|50,15|12,48|18,0|18,0|?
GLAISHER E|49,19|12,63|21,0|21,0|?
GLAISHER F|49,92|13,64|7,0|7,0|?
GLAISHER G|49,49|12,37|20,0|20,0|?
GLAISHER L|48,77|13,41|7,0|7,0|?
GLAISHER N|47,58|13,09|7,0|7,0|?
GLAISHER V|50,00|11,00|12,0|12,0|?
GLAISHER W|47,64|12,55|46,0|46,0|?
GLUSHKO|-77,67|8,11|40,1|40,1|
GOCLENIUS|45,03|-10,05|55,0|54,0|1500
Goclenius 1|47,08|-10,95|15,0|35,0|?
Goclenius 2|47,65|-9,90|22,0|22,0|?
Goclenius 3|47,88|-8,28|18,0|20,0|?
Goclenius 4|45,03|-6,49|24,0|24,0|?
GOCLENIUS B|44,47|-9,22|7,0|7,0|?
GOCLENIUS U|50,15|-9,33|22,0|22,0|?
Goclenius U 1|49,05|-9,90|24,0|24,0|?
Goclenius U 2|48,34|-9,90|25,9|25,9|?
Goclenius U 3|49,85|-9,44|16,0|21,0|?
Goclenius U 4|49,65|-8,34|14,3|14,3|?
GODDARD|89,13|15,15|89,0|89,0|?
GODDARD A|89,71|17,07|12,0|12,0|?
GODDARD B|86,94|16,13|12,0|12,0|?
GODDARD C|85,21|16,81|49,0|49,0|?
GODIN|10,16|1,82|35,0|35,0|3200
GODIN A|9,66|2,67|9,0|9,0|?
GODIN B|9,79|0,73|12,0|12,0|?
GODIN C PLATEAU|8,20|2,00|20,0|10,0|?
GODIN G|10,97|1,93|7,0|7,0|?
GOLDSCHMIDT|-3,37|73,04|121,0|120,0|?
GOLDSCHMIDT A|-2,45|72,50|7,0|7,0|?
GOLDSCHMIDT B|-6,78|70,61|10,0|10,0|?
GOLDSCHMIDT C|-6,10|71,17|7,0|7,0|?
GOLDSCHMIDT D|-7,74|75,40|14,0|14,0|?
GOODACRE|14,08|-32,67|46,0|46,0|3200
GOODACRE B|13,64|-31,92|9,0|9,0|?
GOODACRE D|15,01|-33,42|8,0|8,0|?
GOODACRE E|15,49|-32,99|6,0|6,0|?
GOODACRE G|13,91|-33,35|16,0|16,0|?
GOODACRE K|13,41|-30,94|11,0|11,0|?
GOODACRE P|16,68|-34,11|22,0|22,0|?
GORE|-62,31|86,18|9,4|9,4|
GOULD|-17,25|-19,26|35,0|34,0|?
GOULD M|-17,24|-17,67|41,0|41,0|?
GOULD N|-17,69|-18,35|17,0|17,0|?
GOULD P|-16,65|-18,85|8,0|8,0|?
GRACE|35,89|14,21|1,5|1,5|
GRAFF A|-86,32|-41,20|21,0|21,0|?
GREAVES|52,79|13,18|15,0|14,0|1960
GRIGNARD|-75,83|84,54|13,0|13,0|
GRIMALDI|-68,36|-5,38|222,0|222,0|2000
Grimaldi 1|-69,82|-5,05|20,0|20,0|?
Grimaldi 2|-68,57|-4,47|17,0|17,0|?
Grimaldi 3|-68,96|-4,07|28,0|17,0|?
Grimaldi 4|-67,48|-3,50|0,0|0,0|?
Grimaldi 5|-65,38|-2,81|7,0|7,0|?
GRIMALDI A|-71,33|-5,39|15,0|15,0|?
GRIMALDI B|-69,32|-2,94|22,0|22,0|?
GRIMALDI C|-61,59|-2,65|10,0|10,0|?
GRIMALDI D|-65,65|-3,66|22,0|22,0|?
GRIMALDI E|-64,54|-3,67|13,0|13,0|?
GRIMALDI F|-62,84|-3,91|29,0|29,0|?
GRIMALDI G|-65,01|-7,33|13,0|13,0|?
GRIMALDI H|-71,52|-4,88|9,0|9,0|?
GRIMALDI J|-70,69|-2,93|16,0|16,0|?
GRIMALDI L|-66,83|-8,53|19,0|19,0|?
Grimaldi L 1|-66,40|-9,79|0,0|0,0|?
Grimaldi L 2|-66,79|-9,67|0,0|0,0|?
Grimaldi L 3|-67,06|-9,61|0,0|0,0|?
GRIMALDI M|-67,10|-8,02|18,0|18,0|?
GRIMALDI N|-66,71|-7,56|8,0|8,0|?
GRIMALDI P|-68,37|-7,96|10,0|10,0|?
GRIMALDI Q|-64,87|-4,75|21,0|21,0|?
GRIMALDI R|-71,36|-8,50|9,0|9,0|?
GRIMALDI S|-64,88|-6,35|11,0|11,0|?
GRIMALDI T|-71,01|-7,72|12,0|12,0|?
GRIMALDI X|-72,41|-5,88|9,0|9,0|?
GROVE|32,98|40,30|28,0|28,0|2370
GRUEMBERGER|-10,30|-67,04|94,0|94,0|4300
GRUEMBERGER A|-12,21|-67,50|20,0|20,0|?
GRUEMBERGER B|-9,15|-64,58|31,0|31,0|?
GRUEMBERGER C|-15,40|-65,90|13,0|13,0|?
GRUEMBERGER E|-7,32|-63,82|9,0|9,0|?
GRUEMBERGER F|-6,43|-63,03|7,0|7,0|?
GRUITHUISEN|-39,78|32,89|17,0|17,0|1860
GRUITHUISEN B|-38,75|35,65|9,0|9,0|?
Gruithuisen Delta|-39,37|35,87|34,0|20,0|1660
GRUITHUISEN E|-44,39|37,39|8,0|8,0|?
Gruithuisen E 1|-44,96|36,37|10,0|10,0|?
GRUITHUISEN G|-44,01|36,59|6,0|6,0|?
Gruithuisen Gamma 1|-40,97|37,09|8,0|8,0|1100
Gruithuisen Gamma 2|-41,35|36,66|5,0|5,0|?
GRUITHUISEN H|-38,47|33,32|6,0|6,0|?
GRUITHUISEN K|-42,73|35,39|6,0|6,0|?
GRUITHUISEN M|-43,16|36,94|7,0|7,0|?
GRUITHUISEN P|-40,57|37,17|11,0|11,0|?
GRUITHUISEN R|-45,33|37,15|7,0|7,0|?
GRUITHUISEN S|-45,68|37,47|7,0|7,0|?
Gruithuisen Zeta|-39,39|35,59|3,0|3,0|?
GUERICKE|-14,19|-11,57|58,0|58,0|?
GUERICKE B|-15,31|-14,59|16,0|16,0|?
GUERICKE D|-14,62|-11,99|6,6|6,6|
GUERICKE F|-15,33|-12,26|21,0|21,0|?
GUERICKE H|-14,29|-12,45|6,0|6,0|?
GUERICKE J|-13,43|-10,62|8,0|8,0|?
GUERICKE S|-13,40|-10,36|11,0|11,0|?
GUM|88,91|-40,34|55,0|55,0|?
GUM S|84,92|-39,67|33,0|33,0|?
GUTENBERG|41,25|-8,61|75,0|74,0|2280
Gutenberg 1|38,81|-9,61|13,0|13,0|?
Gutenberg 2|39,03|-8,97|6,2|6,2|?
GUTENBERG A|39,91|-9,03|15,0|15,0|?
GUTENBERG B|38,32|-9,12|15,0|15,0|?
GUTENBERG C|41,13|-10,04|45,0|45,0|?
GUTENBERG D|42,84|-10,99|20,0|20,0|?
GUTENBERG E|42,42|-8,22|28,0|28,0|?
GUTENBERG F|42,61|-10,23|8,0|8,0|?
GUTENBERG G|40,04|-6,05|32,0|32,0|?
GUTENBERG K|40,82|-7,30|6,0|6,0|?
GYLDEN|0,23|-5,37|48,0|48,0|?
Gylden 1|0,06|-5,68|6,0|6,0|?
Gylden 2|0,29|-5,22|2,5|2,5|?
Gylden 3|0,06|-5,22|2,5|2,5|?
Gylden 4|0,17|-4,93|2,5|2,5|?
GYLDEN C|0,99|-5,90|6,0|6,0|?
HABER|-94,63|83,40|56,8|56,8|
HADLEY C|2,80|25,48|6,0|6,0|500
HAGECIUS|46,63|-59,92|76,0|76,0|?
HAGECIUS A|47,10|-58,26|61,0|61,0|?
HAGECIUS B|49,03|-60,48|34,0|34,0|?
HAGECIUS C|47,43|-60,78|24,0|24,0|?
HAGECIUS D|47,06|-57,32|17,0|17,0|?
HAGECIUS E|49,65|-63,50|44,0|44,0|?
HAGECIUS F|44,92|-62,38|36,0|36,0|?
HAGECIUS G|47,60|-61,86|30,0|30,0|?
HAGECIUS H|50,86|-60,48|13,0|13,0|?
HAGECIUS J|57,75|-62,69|14,0|14,0|?
HAGECIUS K|52,08|-61,26|31,0|31,0|?
HAGECIUS L|55,93|-61,70|8,0|8,0|?
HAGECIUS M|52,18|-60,18|10,0|10,0|?
HAGECIUS N|53,05|-60,33|16,0|16,0|?
HAGECIUS P|53,33|-59,91|7,0|7,0|?
HAGECIUS Q|53,09|-59,29|20,0|20,0|?
HAGECIUS R|52,84|-58,81|15,0|15,0|?
HAGECIUS S|54,87|-59,08|10,0|10,0|?
HAGECIUS T|57,73|-60,65|14,0|14,0|?
HAGECIUS V|58,64|-62,06|14,0|14,0|?
HAHN|73,55|31,22|85,0|84,0|?
HAHN A|69,72|29,67|17,0|17,0|?
Hahn A 1|68,34|31,67|0,0|0,0|?
HAHN B|76,98|31,38|15,0|15,0|?
HAHN D|68,46|27,41|15,0|15,0|?
HAHN E|69,99|27,68|15,0|15,0|?
HAHN F|72,89|32,16|23,0|23,0|?
HAIDINGER|-25,14|-39,18|22,0|22,0|1300
HAIDINGER A|-24,67|-38,69|9,0|9,0|?
HAIDINGER B|-24,48|-39,25|10,3|10,3|1500
HAIDINGER C|-22,18|-39,10|19,0|19,0|?
HAIDINGER G|-22,66|-39,60|11,0|11,0|?
HAIDINGER J|-24,43|-37,99|15,0|15,0|?
HAIDINGER M|-22,08|-37,46|23,0|23,0|?
HAIDINGER N|-26,23|-39,52|6,0|6,0|?
HAINZEL|-33,52|-41,23|70,0|70,0|?
HAINZEL A|-34,02|-40,31|24,0|24,0|?
HAINZEL B|-33,45|-37,94|15,0|15,0|?
HAINZEL C|-32,79|-41,17|18,0|18,0|?
HAINZEL H|-33,17|-36,97|11,0|11,0|?
HAINZEL J|-37,88|-37,79|13,0|13,0|?
HAINZEL K|-32,31|-37,55|14,0|14,0|?
HAINZEL L|-35,01|-38,12|16,0|16,0|?
HAINZEL N|-40,19|-42,60|24,0|24,0|?
HAINZEL O|-38,65|-38,65|14,0|14,0|?
HAINZEL R|-36,42|-38,75|19,0|19,0|?
HAINZEL S|-37,68|-41,11|8,0|8,0|?
HAINZEL T|-37,32|-40,20|8,0|8,0|?
HAINZEL V|-38,80|-41,28|20,0|20,0|?
HAINZEL W|-38,67|-40,75|31,0|31,0|?
HAINZEL Y|-39,84|-40,97|22,0|22,0|?
HALDANE|84,11|-1,66|38,0|38,0|?
HALE|91,71|-74,13|85,0|85,0|?
HALE Q|83,93|-76,47|24,0|24,0|?
HALFWAY|15,50|-9,00|0,1|0,1|
HALL|36,75|33,81|40,0|40,0|1140
HALL C|35,88|34,71|6,0|6,0|?
HALL J|36,90|35,47|8,0|8,0|?
Hall J 1|35,60|35,31|0,0|0,0|?
HALL K|34,26|35,57|8,0|8,0|?
Hall K 1|34,96|34,89|5,0|5,0|?
Hall K 2|34,98|35,10|3,0|3,0|?
Hall Y 1|35,85|36,30|40,0|40,0|?
HALLEY|5,73|-8,05|36,0|36,0|2510
HALLEY B|4,45|-8,48|6,0|6,0|?
HALO|-23,40|-3,20|0,0|0,0|
HAMILTON|84,41|-42,77|58,0|58,0|?
HAMILTON B|81,85|-42,66|32,0|32,0|?
HANNO|71,38|-56,46|56,0|56,0|?
HANNO A|63,47|-53,60|38,0|38,0|?
HANNO B|68,95|-52,65|36,0|36,0|?
HANNO C|68,54|-55,86|22,0|22,0|?
HANNO D|78,03|-59,10|18,0|18,0|?
HANNO E|73,04|-59,43|18,0|18,0|?
HANNO F|68,22|-52,30|9,0|9,0|?
HANNO G|70,77|-58,00|16,0|16,0|?
HANNO H|74,96|-57,84|57,0|57,0|?
HANNO K|76,74|-53,62|25,0|25,0|?
HANNO W|60,13|-54,67|10,0|10,0|?
HANNO X|67,81|-55,37|13,0|13,0|?
HANNO Y|66,06|-55,39|8,0|8,0|?
HANNO Z|64,97|-55,18|10,0|10,0|?
HANSEN|72,54|14,04|40,0|40,0|?
HANSEN A|74,67|13,36|13,0|13,0|?
HANSEN B|79,52|14,43|80,0|80,0|?
HANSTEEN|-52,06|-11,53|45,0|45,0|1250
HANSTEEN A|-52,26|-12,76|6,0|6,0|?
HANSTEEN B|-52,68|-12,73|6,0|6,0|?
HANSTEEN E|-50,60|-10,62|28,0|28,0|?
HARDING|-71,66|43,54|23,0|23,0|?
HARDING A|-75,47|40,39|14,0|14,0|?
HARDING B|-76,41|41,81|17,0|17,0|?
HARDING C|-74,75|42,39|8,0|8,0|?
HARDING D|-67,64|42,85|7,0|7,0|?
HARDING H|-64,42|40,75|6,0|6,0|?
HARGREAVES|64,09|-2,18|17,0|17,0|?
Harker 1|63,98|16,86|25,0|25,0|?
Harker 2|63,44|16,86|35,0|35,0|?
HARLAN|79,65|-38,31|63,5|63,5|
HAROLD|-6,07|-10,88|1,4|1,4|
HARPALUS|-43,49|52,73|40,0|40,0|2850
Harpalus 1|-46,64|49,73|0,0|0,0|?
HARPALUS B|-43,77|56,24|8,0|8,0|?
HARPALUS C|-45,24|55,59|10,0|10,0|?
HARPALUS E|-50,98|52,77|7,0|7,0|?
HARPALUS G|-52,28|53,63|11,0|11,0|?
HARPALUS H|-53,34|53,80|8,0|8,0|?
HARTWIG A|-79,86|-5,76|10,0|10,0|?
HARTWIG B|-77,56|-8,42|11,0|11,0|?
HASE|62,68|-29,37|83,0|83,0|?
HASE A|62,94|-29,06|14,0|14,0|?
HASE B|60,06|-31,51|17,0|17,0|?
HASE D|63,30|-31,11|56,0|56,0|?
HAUSEN|-88,49|-65,11|167,0|167,0|3800
HAWORTH|-5,17|-87,45|51,4|51,4|
HAYN A|71,11|63,01|54,0|54,0|?
HAYN B|63,86|65,16|25,0|25,0|?
HAYN C|91,45|65,31|13,0|13,0|?
HAYN D|61,64|65,44|20,0|20,0|?
HAYN E|66,10|67,02|42,0|42,0|?
HAYN F|85,75|68,01|59,0|59,0|?
HAYN G|86,31|66,86|21,0|21,0|?
HAYN H|68,61|63,37|14,0|14,0|?
HAYN J|63,71|66,91|39,0|39,0|?
HAYN L|67,70|64,35|27,0|27,0|?
HAYN M|66,28|62,84|7,0|7,0|?
HAYN S|66,14|68,05|10,0|10,0|?
HAYN T|74,58|68,47|7,0|7,0|?
HEAD|-23,40|-3,00|0,1|0,1|
HECATAEUS|79,68|-22,06|128,0|128,0|?
HECATAEUS A|81,78|-22,11|11,0|11,0|?
HECATAEUS B|75,62|-19,38|69,0|69,0|?
HECATAEUS C|73,09|-18,96|22,0|22,0|?
HECATAEUS E|72,64|-18,52|13,0|13,0|?
HECATAEUS J|80,90|-22,47|11,0|11,0|?
HECATAEUS K|79,69|-19,60|76,0|76,0|?
HECATAEUS L|78,95|-19,07|21,0|21,0|?
HECATAEUS M|84,19|-20,79|18,0|18,0|?
HECATAEUS N|80,94|-20,91|10,0|10,0|?
HEDIN|-76,57|2,87|144,0|144,0|?
HEDIN A|-78,06|5,40|60,0|60,0|?
HEDIN B|-83,85|4,34|20,0|20,0|?
HEDIN C|-84,69|4,33|10,0|10,0|?
HEDIN F|-74,50|3,95|19,0|19,0|?
HEDIN G|-73,51|3,82|14,0|14,0|?
HEDIN H|-72,33|3,06|11,0|11,0|?
HEDIN K|-73,16|2,91|11,0|11,0|?
HEDIN L|-71,47|5,13|10,0|10,0|?
HEDIN N|-71,88|4,97|24,0|24,0|?
HEDIN R|-76,09|5,24|7,0|7,0|?
HEDIN S|-75,22|5,69|8,0|8,0|?
HEDIN T|-72,96|4,24|7,0|7,0|?
HEDIN V|-73,85|5,29|9,0|9,0|?
HEDIN Z|-79,01|1,91|10,0|10,0|?
HEINRICH|-15,37|24,84|8,0|8,0|1420
HEINSIUS|-17,82|-39,48|65,0|65,0|2700
HEINSIUS A|-17,61|-39,77|20,0|20,0|3270
HEINSIUS B|-18,73|-40,01|23,0|23,0|?
HEINSIUS C|-17,95|-40,64|23,0|23,0|?
HEINSIUS D|-20,75|-38,82|7,0|7,0|?
HEINSIUS E|-19,58|-37,87|17,0|17,0|?
HEINSIUS F|-19,73|-40,55|7,0|7,0|?
HEINSIUS G|-14,61|-38,32|11,0|11,0|?
HEINSIUS H|-18,56|-37,51|8,0|8,0|?
HEINSIUS J|-20,45|-39,32|8,0|8,0|?
HEINSIUS L|-18,46|-41,25|8,0|8,0|?
HEINSIUS M|-15,40|-40,98|14,0|14,0|?
HEINSIUS N|-14,77|-37,35|7,0|7,0|?
HEINSIUS P|-13,74|-39,40|40,0|40,0|?
HEINSIUS Q|-14,54|-39,89|35,0|35,0|?
HEINSIUS S|-17,00|-39,66|7,0|7,0|?
HEINSIUS T|-16,60|-39,76|7,0|7,0|?
HEIS|-31,98|32,47|15,0|15,0|1910
HEIS A|-31,93|32,73|6,1|6,1|650
HEIS D|-31,11|31,66|8,0|8,0|?
HELICON|-23,11|40,43|25,0|25,0|1910
Helicon 1|-24,13|40,47|7,0|7,0|?
Helicon 2|-25,41|40,77|0,0|0,0|?
Helicon 3|-24,78|41,68|7,0|7,0|?
Helicon 4|-24,26|42,07|5,0|8,0|?
Helicon 5|-23,75|42,69|5,0|5,0|?
HELICON B|-21,30|37,95|6,0|6,0|?
Helicon C 1|-25,62|40,47|5,0|5,0|?
HELL|-7,80|-32,41|33,0|33,0|2200
HELL A|-8,46|-33,91|22,0|22,0|?
HELL B|-5,80|-30,01|22,0|22,0|?
HELL C|-6,50|-34,11|14,0|14,0|?
HELL E|-6,21|-34,63|10,0|10,0|?
HELL J|-6,87|-29,70|6,0|6,0|?
HELL L|-4,72|-30,65|6,0|6,0|?
HELL M|-4,77|-30,35|10,0|10,0|?
HELL V|-8,83|-32,83|7,0|7,0|?
HELL W|-8,67|-32,56|7,0|7,0|?
HELMERT|87,67|-7,56|26,7|26,7|
HELMHOLTZ|65,34|-68,64|96,0|96,0|?
HELMHOLTZ A|51,52|-64,50|16,0|16,0|?
HELMHOLTZ B|68,66|-67,88|10,0|10,0|?
HELMHOLTZ D|54,09|-66,38|46,0|46,0|?
HELMHOLTZ F|60,55|-64,46|53,0|53,0|?
HELMHOLTZ H|64,97|-64,53|18,0|18,0|?
HELMHOLTZ J|68,24|-64,88|22,0|22,0|?
HELMHOLTZ M|51,37|-65,33|21,0|21,0|?
HELMHOLTZ N|50,20|-64,95|13,0|13,0|?
HELMHOLTZ R|55,27|-63,78|12,0|12,0|?
HELMHOLTZ S|56,70|-64,41|31,0|31,0|?
HELMHOLTZ T|60,08|-65,80|31,0|31,0|?
HENRY|-57,01|-23,97|41,0|41,0|?
HENRY A|-57,20|-24,42|8,0|8,0|?
HENRY D|-59,21|-24,87|7,0|7,0|?
HENRY FRERES|-59,02|-23,52|41,0|41,0|?
HENRY FRERES C|-59,83|-24,63|37,0|37,0|?
HENRY FRERES H|-56,83|-22,31|6,0|6,0|?
HENRY FRERES R|-57,90|-21,52|7,0|7,0|?
HENRY FRERES S|-56,48|-20,50|6,0|6,0|?
HENRY K|-55,70|-23,22|6,0|6,0|?
HENRY L|-57,55|-25,46|6,0|6,0|?
HENRY M|-57,53|-25,77|13,0|13,0|?
HENRY N|-58,46|-26,11|9,0|9,0|?
HENRY P|-58,97|-25,70|6,0|6,0|?
Heraclides 1|-30,73|39,20|4,1|4,1|?
Heraclides 2|-32,95|41,07|27,4|27,4|?
Heraclides 3|-33,57|41,84|0,0|0,0|?
Heraclides 4|-33,25|43,16|3,0|3,0|?
HERACLIDES A|-34,27|40,91|6,0|6,0|?
HERACLITUS|6,42|-49,31|91,0|91,0|3800
HERACLITUS A|4,54|-49,41|6,0|6,0|?
HERACLITUS C|6,22|-48,89|7,0|7,0|?
HERACLITUS D|5,14|-50,51|52,0|52,0|?
HERACLITUS E|6,55|-49,74|7,0|7,0|?
HERACLITUS K|3,45|-49,64|17,0|17,0|?
HERCULES|39,21|46,82|70,0|70,0|3200
Hercules 1|36,43|44,99|0,0|0,0|?
Hercules 2|34,60|47,31|0,0|0,0|?
HERCULES B|36,70|47,87|9,0|9,0|?
HERCULES C|35,36|42,74|9,0|9,0|?
HERCULES D|39,73|44,79|8,0|8,0|?
HERCULES E|38,70|45,80|9,0|9,0|?
HERCULES F|41,75|50,31|14,0|14,0|?
HERCULES H|41,04|51,33|7,0|7,0|?
HERCULES J|36,44|44,12|8,0|8,0|?
HERCULES K|36,96|44,26|7,0|7,0|?
HERIGONIUS|-33,97|-13,36|15,0|15,0|2100
Herigonius 1|-32,16|-12,30|42,0|29,0|?
Herigonius 2|-32,77|-12,24|0,0|0,0|?
HERIGONIUS E|-35,65|-13,82|7,0|7,0|?
HERMANN|-57,47|-0,87|15,0|15,0|1360
HERMITE A|-51,02|87,94|20,0|20,0|?
HERODOTUS|-49,84|23,25|35,0|35,0|1440
Herodotus 1|-50,94|25,47|7,0|10,0|?
HERODOTUS A|-52,14|21,52|10,0|10,0|?
Herodotus A 1|-53,03|21,96|0,0|0,0|?
HERODOTUS B|-55,47|22,57|6,0|6,0|?
HERODOTUS E|-51,52|29,35|48,0|48,0|?
HERODOTUS H|-50,07|26,77|6,0|6,0|?
HERODOTUS OMEGA|-50,00|20,30|10,0|10,0|?
Herodotus W 1|-49,81|20,18|8,0|12,0|660
HERSCHEL|-2,09|-5,69|41,0|41,0|3770
HERSCHEL C|-3,18|-5,01|10,0|10,0|?
HERSCHEL D|-3,99|-5,32|20,0|20,0|?
HERSCHEL F|-4,39|-5,79|7,0|7,0|?
HERSCHEL G|-2,41|-6,50|14,0|14,0|?
HERSCHEL N|-1,09|-5,22|15,0|15,0|?
HESIODUS|-16,42|-29,42|43,0|43,0|?
HESIODUS A|-17,07|-30,13|15,0|15,0|?
HESIODUS B|-17,54|-27,16|10,0|10,0|?
Hesiodus E 1|-15,41|-27,84|15,0|15,0|?
HESIODUS X|-16,28|-27,40|24,0|24,0|?
HESIODUS Y|-17,29|-28,32|17,0|17,0|?
HESS APOLLO|30,70|20,10|0,5|0,5|
HEVELIUS|-67,46|2,20|106,0|106,0|2000
Hevelius 1|-67,38|0,69|6,0|6,0|?
Hevelius 2|-62,37|2,64|10,0|10,0|?
Hevelius 3|-62,79|3,15|13,0|13,0|?
Hevelius 4|-63,71|3,38|12,0|12,0|?
HEVELIUS A|-68,23|2,85|14,0|14,0|?
HEVELIUS B|-68,98|1,36|14,0|14,0|?
HEVELIUS D|-60,91|3,05|8,0|8,0|?
Hevelius D 1|-60,50|4,19|9,0|5,0|?
HEVELIUS E|-65,78|2,96|9,0|9,0|?
HEVELIUS J|-69,90|0,80|14,0|14,0|?
HEVELIUS K|-70,08|1,58|6,0|6,0|?
HEVELIUS L|-70,48|2,04|7,0|7,0|?
HILL|40,81|20,91|17,0|17,0|3340
Hill 1|39,47|21,10|6,0|7,0|?
HIND|7,31|-7,92|30,0|30,0|2980
HIND C|7,44|-8,71|7,0|7,0|?
HINSHELWOOD|-51,89|89,41|13,3|13,3|
HIPPALUS|-30,42|-24,92|58,0|58,0|1230
Hippalus 1|-29,60|-25,98|2,0|3,0|?
HIPPALUS A|-32,85|-23,82|8,0|8,0|?
HIPPALUS D|-32,10|-23,67|24,0|24,0|?
HIPPARCHUS|4,91|-5,36|151,0|151,0|1200
Hipparchus 1|3,50|-3,44|2,0|2,0|?
HIPPARCHUS C|8,21|-7,41|17,0|17,0|2940
HIPPARCHUS F|2,47|-4,20|9,0|9,0|?
HIPPARCHUS G|7,40|-5,03|15,0|15,0|?
HIPPARCHUS J|3,20|-7,59|14,0|14,0|?
HIPPARCHUS K|2,16|-6,97|12,0|12,0|?
HIPPARCHUS L|9,00|-6,87|13,0|13,0|2630
HIPPARCHUS N|4,98|-4,85|6,0|6,0|?
HIPPARCHUS Q|2,87|-8,50|8,0|8,0|?
HIPPARCHUS T|3,53|-7,15|8,0|8,0|?
HIPPARCHUS U|3,55|-6,77|8,0|8,0|?
HIPPARCHUS X|4,89|-5,85|17,0|17,0|?
HIPPARCHUS Z|9,06|-8,56|6,0|6,0|?
HOLDEN|62,53|-19,19|48,0|48,0|?
HOLDEN R|60,99|-20,82|18,0|18,0|?
HOLDEN S|61,56|-20,41|15,0|15,0|?
HOLDEN T|64,17|-19,02|9,0|9,0|?
HOLDEN V|62,07|-18,57|10,0|10,0|?
HOLDEN W|60,02|-18,91|12,0|12,0|?
Holden W 1|58,70|-18,36|0,0|0,0|?
Holden W 2|58,08|-18,06|17,0|17,0|?
Holden W 3|59,80|-18,00|8,0|8,0|51
HOMMEL|32,93|-54,74|126,0|126,0|?
HOMMEL A|33,97|-53,85|51,0|51,0|?
HOMMEL B|36,94|-55,34|33,0|33,0|?
HOMMEL C|29,82|-54,91|53,0|53,0|?
HOMMEL D|32,55|-55,93|28,0|28,0|?
HOMMEL E|31,04|-59,10|14,0|14,0|?
HOMMEL F|32,03|-58,59|21,0|21,0|?
HOMMEL G|27,40|-58,11|30,0|30,0|?
HOMMEL H|30,67|-52,55|43,0|43,0|?
HOMMEL HA|30,55|-52,08|8,0|8,0|?
HOMMEL J|27,88|-53,53|18,0|18,0|?
HOMMEL K|26,95|-55,57|16,0|16,0|?
