Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
BAYER H|-32,68|-53,53|27,0|27,0|?
BAYER J|-33,62|-52,26|18,0|18,0|?
BAYER K|-34,06|-50,29|16,0|16,0|?
BAYER L|-33,69|-47,52|14,0|14,0|?
BAYER M|-31,19|-50,69|10,0|10,0|?
BAYER N|-29,37|-48,33|9,0|9,0|?
BAYER R|-35,61|-52,42|9,0|9,0|?
BAYER S|-36,45|-52,33|13,0|13,0|?
BAYER T|-30,32|-49,25|8,0|8,0|?
BAYER U|-31,40|-48,40|10,0|10,0|?
BAYER V|-31,76|-47,56|9,0|9,0|?
BAYER W|-33,41|-48,04|9,0|9,0|?
BAYER X|-33,81|-53,42|8,0|8,0|?
BAYER Y|-35,87|-49,23|31,0|31,0|?
BAYER Z|-33,61|-49,12|7,0|7,0|?
BEAR MOUNTAIN|30,70|20,00|0,0|0,0|
BEAUMONT|28,82|-18,08|53,0|53,0|?
Beaumont 1|28,63|-19,39|13,7|13,7|?
BEAUMONT A|27,78|-16,31|14,0|14,0|?
BEAUMONT B|26,80|-18,71|16,0|16,0|?
BEAUMONT C|27,93|-20,25|6,0|6,0|?
BEAUMONT D|26,17|-17,09|11,0|11,0|?
BEAUMONT E|27,49|-18,89|18,0|18,0|?
BEAUMONT F|26,59|-18,37|10,0|10,0|?
BEAUMONT G|27,14|-20,37|8,0|8,0|?
BEAUMONT H|28,53|-17,08|6,0|6,0|?
BEAUMONT K|30,07|-17,52|6,0|6,0|?
BEAUMONT M|28,63|-19,43|10,0|10,0|?
BEAUMONT P|29,59|-19,92|17,0|17,0|?
BEER|-9,10|27,07|10,0|10,2|1650
Beer 1|-8,87|26,55|6,2|6,2|?
Beer 2|-9,14|26,62|0,0|0,0|?
Beer 3|-9,48|26,81|0,0|0,0|?
Beer B 1|-8,53|25,34|0,0|0,0|?
Beer B 2|-8,73|25,47|8,0|8,0|?
BEHAIM|79,41|-16,61|55,0|55,0|?
BEHAIM B|76,52|-16,10|24,0|24,0|?
BEHAIM BA|76,07|-16,40|14,0|14,0|?
BEHAIM C|77,48|-16,71|13,0|13,0|?
BEHAIM N|73,55|-16,11|9,0|9,0|?
BEHAIM S|81,44|-16,33|25,0|25,0|?
BEHAIM T|81,41|-15,90|11,0|11,0|?
BEKETOV|29,18|16,23|8,0|8,0|1000
BEL'KOVICH|90,15|61,53|199,0|198,0|?
BEL'KOVICH A|87,41|58,65|58,0|58,0|?
BEL'KOVICH B|85,71|58,89|13,0|13,0|?
BELA|2,27|24,67|12,0|2,0|?
BELLOT|48,19|-12,48|17,0|17,0|2230
